#ID_RSSD_PREDECESSOR,ID_RSSD_SUCCESSOR,D_DT_TRANS,TRNSFM_CD,ACCT_METHOD,DT_TRANS
1075210,575423,"12/31/1994 00:00:00",1,0,19941231
1075229,1442568,"04/09/1994 00:00:00",1,0,19940409
1075238,1072237,"12/31/1986 00:00:00",1,0,19861231
1075247,1076338,"11/30/1985 00:00:00",1,0,19851130
1075359,1956467,"12/31/1996 00:00:00",1,0,19961231
1075377,1901056,"07/22/1995 00:00:00",1,0,19950722
1075443,1073449,"05/14/1991 00:00:00",1,0,19910514
1075489,1148619,"11/30/2000 00:00:00",1,0,20001130
1075500,2007647,"05/17/2011 00:00:00",1,0,20110517
1075519,1826056,"03/28/1998 00:00:00",1,0,19980328
1075528,1072947,"03/10/1986 00:00:00",1,0,19860310
1075546,1075162,"10/23/1986 00:00:00",1,0,19861023
1075555,1076338,"04/27/1993 00:00:00",1,0,19930427
1075564,1071968,"08/26/1987 00:00:00",1,0,19870826
1075573,1072237,"01/01/1997 00:00:00",1,0,19970101
1075582,1072107,"09/30/1986 00:00:00",1,0,19860930
1075591,1071968,"12/29/1994 00:00:00",1,0,19941229
1075685,491224,"12/31/1995 00:00:00",1,1,19951231
1075715,1072237,"07/18/1987 00:00:00",1,0,19870718
1075733,1478017,"05/09/1990 00:00:00",1,0,19900509
1075742,1076217,"07/01/1986 00:00:00",1,0,19860701
1075779,1826056,"11/03/1990 00:00:00",1,0,19901103
1075788,2682996,"01/16/2014 00:00:00",1,0,20140116
1075845,2099464,"09/01/1993 00:00:00",1,0,19930901
1075854,1074156,"12/31/1986 00:00:00",1,0,19861231
1075863,1478017,"05/09/1990 00:00:00",1,0,19900509
1075890,1078846,"03/01/1995 00:00:00",1,0,19950301
1075902,1075779,"12/04/1986 00:00:00",1,0,19861204
1075911,1075612,"10/01/2014 00:00:00",1,0,20141001
1075920,93721,"10/26/1995 00:00:00",1,1,19951026
1075948,1076299,"12/31/1987 00:00:00",1,0,19871231
1075957,1076244,"04/01/1993 00:00:00",1,0,19930401
1075966,1070448,"06/17/1998 00:00:00",1,0,19980617
1075975,1826056,"11/03/1990 00:00:00",1,0,19901103
1075984,1249347,"09/01/2015 00:00:00",1,0,20150901
1075993,2173092,"11/09/1994 00:00:00",1,0,19941109
1076002,3432965,"03/01/2016 00:00:00",1,0,20160301
1076011,1076338,"02/04/1992 00:00:00",1,0,19920204
1076039,1093728,"07/05/2000 00:00:00",1,0,20000705
1076075,1140163,"10/01/1986 00:00:00",1,0,19861001
1076084,1140462,"09/30/1990 00:00:00",1,0,19900930
1076093,1076039,"05/20/1995 00:00:00",1,0,19950520
1076114,3084234,"12/31/2004 00:00:00",1,0,20041231
1076132,2990244,"06/07/2008 00:00:00",1,0,20080607
1076178,1075694,"02/01/2016 00:00:00",1,0,20160201
1076187,1140163,"10/01/1990 00:00:00",1,0,19901001
1076226,1130847,"03/16/2001 00:00:00",1,0,20010316
1076235,1074567,"09/01/1993 00:00:00",1,0,19930901
1076244,1076262,"12/31/1998 00:00:00",1,0,19981231
1076253,2411169,"05/17/1996 00:00:00",1,0,19960517
1076280,1132270,"03/06/1985 00:00:00",1,0,19850306
1076299,1075201,"01/29/1994 00:00:00",1,0,19940129
1076301,1072107,"04/01/1985 00:00:00",1,0,19850401
1076310,1076244,"08/31/1996 00:00:00",1,0,19960831
1076338,1068294,"02/28/1998 00:00:00",1,0,19980228
1076347,1075201,"12/31/1987 00:00:00",1,0,19871231
1076356,580623,"10/18/1988 00:00:00",1,0,19881018
1076374,1442568,"06/25/1993 00:00:00",1,0,19930625
1076383,1075733,"09/30/1989 00:00:00",1,0,19890930
